place,place_address,station_name,station_address,distance
Salón del Prado,Paseo PRADO ,Bicipark Montalban,"Calle de Montalbán, 5",419.59
Teatro Barceló,CALLE BARCELO 11,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",535.79
Teatro María Guerrero,Calle TAMAYO Y BAUS 4,Bicipark Recoletos,"Paseo de Recoletos, 2",282.88
Teatro Real,PLAZA ISABEL II ,Bicipark Canalejas,-,824.35
Teatro Valle-Inclán,CALLE VALENCIA 1,Bicipark Canalejas,-,1092.7
Templo de Debod,CALLE FERRAZ 1,Bicipark Canalejas,-,1596.34
Terminal T4,AEROPUERTO TERMINAL T-4 ,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,6085.41
Torre Castelar,PASEO CASTELLANA 50,Bicipark Almagro,"Calle Almagro, 11",677.2
Torre de Madrid,PLAZA ESPAÑA 18,Bicipark Canalejas,-,1303.47
Torres Blancas,AVENIDA AMERICA 37,Bicipark Salamanca,Pl. del Marqués de Salamanca,1209.65
Tribunal Superior de Justicia,CALLE GENERAL CASTA&amp;Ntilde;OS 1,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",111.26
Viaducto,CALLE BAILEN 12,Bicipark Canalejas,-,1259.42
Viviendas para Alejandro Santamaría,Calle GRAN VIA 56,Bicipark Canalejas,-,792.72
Viviendas para el Conde Artaza,Calle CABALLERO DE GRACIA 11,Bicipark Canalejas,-,178.13
Viviendas para el conde de Godó,Calle GRAN VIA 44,Bicipark Canalejas,-,593.78
Viviendas para el Marqués de Cubas y Fontalba,Calle GONZALO JIMENEZ DE QUESADA 2,Bicipark Canalejas,-,410.21
Viviendas para el Marqués de Cubas y Fontalba,Calle GRAN VIA 30,Bicipark Canalejas,-,380.05
Viviendas para el marqués de Falces,Calle CONCEPCION ARENAL 2,Bicipark Canalejas,-,526.46
Viviendas para el marqués de Urquijo,Calle GRAN VIA 6,Bicipark Canalejas,-,231.44
Viviendas para el marqués de Villamayor de Santiago,Calle CABALLERO DE GRACIA 7,Bicipark Canalejas,-,212.44
Viviendas para Fernando M. Vidales,Calle GRAN VIA 52,Bicipark Canalejas,-,724.22
Viviendas para José María Escriña,Calle GRAN VIA 69,Bicipark Canalejas,-,1092.22
Viviendas para José Pérez Pla,Calle FLOR BAJA 4,Bicipark Canalejas,-,1018.91
Viviendas para Juan Giralt de la Porta,Calle CABALLERO DE GRACIA 17,Bicipark Canalejas,-,169.14
Viviendas para la Sociedad Inmobiliaria de la Villa de Madrid. Bar Chicote.,Calle GRAN VIA 12,Bicipark Canalejas,-,223.93
Viviendas para la Sociedad Inmobiliaria de Madrid,Calle GRAN VIA 14,Bicipark Canalejas,-,227.69
Viviendas para Luis Ocharán Mazas,Calle CABALLERO DE GRACIA 21,Bicipark Canalejas,-,181.63
Viviendas para Luis y Manuel Mitjans,Calle CABALLERO DE GRACIA 13,Bicipark Canalejas,-,170.36
Viviendas para María Monasterio Arrillaga,Calle GRAN VIA 36,Bicipark Canalejas,-,509.02
Viviendas para Seguros La Estrella,Calle GRAN VIA 20,Bicipark Canalejas,-,260.57
Viviendas para Seguros La Estrella,Calle GRAN VIA 10,Bicipark Canalejas,-,222.48
Viviendas para Tomás Allende,Calle CABALLERO DE GRACIA 1,Bicipark Canalejas,-,262.27
Viviendas y comercio para Rafael Sánchez,Calle CLAVEL 4,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,
Viviendas y comercios para Francisco Escriña,Calle GRAN VIA 71,Bicipark Canalejas,-,1109.38
Viviendas y oficinas,Calle GRAN VIA 45,Bicipark Canalejas,-,754.56
Viviendas y oficinas,Calle GRAN VIA 80,Bicipark Canalejas,-,1117.07
Viviendas y oficinas,Calle GRAN VIA 51,Bicipark Canalejas,-,806.55
Viviendas y oficinas,Calle GRAN VIA 60,Bicipark Canalejas,-,879.67
Viviendas y oficinas para el vizconde de Escoriaza,Calle GRAN VIA 22B,Bicipark Canalejas,-,278.36
Viviendas y oficinas para Hilario Ruiz,Calle DOCTOR CARRACIDO ,Bicipark Canalejas,-,1061.4
Viviendas y oficinas para Jesús de Murga,Calle FUENCARRAL 2,Bicipark Canalejas,-,312.01
Viviendas y oficinas para Jesús Ussia y Cubas y Cine Azul,Calle GENERAL MITRE ,Bicipark Canalejas,-,1083.12
Viviendas y oficinas para José María Cano,Calle GRAN VIA 42,Bicipark Canalejas,-,572.19
Viviendas y oficinas para José María de Antonio Becerril,Calle GRAN VIA 8,Bicipark Canalejas,-,222.16
Viviendas y oficinas para José Pérez Pla,Calle GRAN VIA 64,Bicipark Canalejas,-,920.62
Viviendas y oficinas para Juan Miralles Sesé,Calle FLOR BAJA 2,Bicipark Canalejas,-,995.11
Viviendas y oficinas para la Constructora Calpense,Calle CHINCHILLA ,Bicipark Canalejas,-,397.63
Viviendas y oficinas para Leopoldo García,Calle GRAN VIA 49,Bicipark Canalejas,-,788.17
Viviendas y oficinas para Rafael Calabuig,Calle GRAN VIA 58,Bicipark Canalejas,-,858.66
Viviendas y oficinas para Ramón Saiz de Carlos,Calle GRAN VIA 33,Bicipark Canalejas,-,473.43
Viviendas y oficinas para Santos Suárez y Compañía,Calle GRAN VIA 47,Bicipark Canalejas,-,771.06
Viviendas y oficinas para Seguros La Estrella,Calle CABALLERO DE GRACIA 15,Bicipark Canalejas,-,168.25
Viviendas y teatro Fontalba para el marqués de Cubas y Fontalba,Calle DESENGAÑO 3,Bicipark Canalejas,-,397.21
Zoo Aquarium de Madrid,COMPLEJO ZOOLOGICO DE LA CASA CAMPO ,Bicipark Aviación,Parking Aviación Española,3668.5
