place,place_address,station_name,station_address,distance
Palacio de Biblioteca y Museos Nacionales,CALLE SERRANO 13,Villanueva,Calle Claudio Coello nº 109,134.03
Palacio de Buena Vista (actual sede del Cuartel General del Ejército de Tierra),Calle ALCALÁ 51,Prim,Calle Prim nº 2,163.47
"Palacio de Comunicaciones (Palacio de Cibeles, Ayuntamiento de Madrid)",PLAZA CIBELES 1,Cibeles,Plaza Cibeles,106.64
Palacio de Fernán Nuñez (Fundación de los Ferrocarriles Españoles),CALLE SANTA ISABEL 44,Santa Isabel,Calle Atocha nº 95,140.49
Palacio de la Música,Calle ABADA 14,Miguel Moya,Calle Miguel Moya nº 1,126.98
Palacio de la Prensa,PLAZA CALLAO 4,Miguel Moya,Calle Miguel Moya nº 1,86.71
Palacio de Linares (actual Casa de América),PLAZA CIBELES 1,Cibeles,Plaza Cibeles,106.64
Palacio de Liria,CALLE PRINCESA 20,Ventura Rodríguez,Calle Duque de Liria,109.07
Palacio de Longoria (sede de la Sociedad General de Autores y Editores),Calle FERNANDO VI 4,Hortaleza,Calle Hortaleza nº 75,78.27
Palacio de los Duques de Santoña (Cámara de Comercio),Calle HUERTAS 13,Plaza de Santa Ana,Plaza de Santa Ana nº 10,46.66
Palacio de Santa Cruz (sede actual del Ministerio de Asuntos Exteriores),PLAZA PROVINCIA 1,Plaza de la Provincia,Plaza de la Provincia nº 1,38.61
Palacio del Duque de Uceda o Palacio de Consejos,CALLE MAYOR 79,Segovia 26,Calle Segovia nº 26,138.66
Palacio del Marqués de Salamanca,Paseo RECOLETOS 10,Biblioteca Nacional,Paseo de Recoletos nº 20,200.37
Palacio del Marqués de Perales (Filmoteca Española),CALLE MAGDALENA 10,Jesús y María,Calle Lavapiés nº 34,242.47
Palacio Real de El Pardo,CALLE MANUEL ALONSO 1,Pedro Rico,Calle Pedro Rico nº 4,8659.12
Palacio Real de Madrid,Calle BAILEN ,Plaza Ramales,Plaza de Ramales,246.26
Parque de El Retiro,PLAZA INDEPENDENCIA 7,Plaza de la Independencia,Plaza de la Independencia nº 6,44.01
Parroquia de Nuestra Señora del Tránsito,CARRETERA CANILLAS 40,Carlota O’Neill,Calle Carlota O'Neill nº 32,2127.14
