address,dock_bikes,geometry
"Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas,",20,"{'type': 'Point', 'coordinates': [-3.6784749, 40.4082717]}"
"Calle Pío Baroja nº 10,",4,"{'type': 'Point', 'coordinates': [-3.6744795, 40.4132995]}"
"Calle Doctor Esquerdo nº 191,",21,"{'type': 'Point', 'coordinates': [-3.672481575393678, 40.40357156992851]}"
"Avenida de Menéndez Pelayo, 9,",13,"{'type': 'Point', 'coordinates': [-3.679891, 40.4213143]}"
"Calle Ayala nº 44,",3,"{'type': 'Point', 'coordinates': [-3.6832566, 40.427736]}"
"Calle Velázquez nº 75,",1,"{'type': 'Point', 'coordinates': [-3.6838303, 40.4313576]}"
"Calle Ayala nº 102,",2,"{'type': 'Point', 'coordinates': [-3.6752024, 40.4272582]}"
"Calle Goya nº 18,",2,"{'type': 'Point', 'coordinates': [-3.6838416, 40.4251493]}"
"Calle Hermosilla nº 70,",4,"{'type': 'Point', 'coordinates': [-3.6786285, 40.426049]}"
"Calle Claudio Coello nº 45,",2,"{'type': 'Point', 'coordinates': [-3.6865463, 40.4262945]}"
"Calle Claudio Coello nº 19,",1,"{'type': 'Point', 'coordinates': [-3.6869293, 40.4225428]}"
"Calle Alcalá nº 111,",1,"{'type': 'Point', 'coordinates': [-3.682204798770403, 40.42201515498424]}"
"Avenida de Menéndez Pelayo nº 3,",8,"{'type': 'Point', 'coordinates': [-3.6802556, 40.4225364]}"
"Plaza de Felipe II,",3,"{'type': 'Point', 'coordinates': [-3.6757676, 40.4241325]}"
"Calle Jorge Juan nº 131,",2,"{'type': 'Point', 'coordinates': [-3.6696804, 40.4230771]}"
"Calle Alcalá nº 95,",1,"{'type': 'Point', 'coordinates': [-3.6842317, 40.4211845]}"
"Calle José Ortega y Gasset nº 4,",1,"{'type': 'Point', 'coordinates': [-3.686744, 40.43053]}"
"Paseo de Federico Garcia Lorca, 4,",4,"{'type': 'Point', 'coordinates': [-3.62144691, 40.3795035]}"
"Calle Seis, sn,",20,"{'type': 'Point', 'coordinates': [-3.59650295, 40.44845033]}"
"Calle Rosario Pino,",1,"{'type': 'Point', 'coordinates': [-3.69193246, 40.46204955]}"
"Calle Capitan Blanco Argibay,",4,"{'type': 'Point', 'coordinates': [-3.7031882, 40.4667435]}"
"Calle Muller,",0,"{'type': 'Point', 'coordinates': [-3.69837565, 40.46518187]}"
"Gran Avenida, 27,",21,"{'type': 'Point', 'coordinates': [-3.70760649, 40.36997711]}"
"Periana, 24,",19,"{'type': 'Point', 'coordinates': [-3.68765805, 40.36672327]}"
"Calle de Moreja, 30,",19,"{'type': 'Point', 'coordinates': [-3.69838038, 40.36809336]}"
"Calle de Bohemios, 1,",23,"{'type': 'Point', 'coordinates': [-3.693901, 40.356536]}"
"Calle de Torremolinos, 2,",8,"{'type': 'Point', 'coordinates': [-3.64178999, 40.38500948]}"
"Calle Esteban Collantes 63,",5,"{'type': 'Point', 'coordinates': [-3.637663, 40.432883]}"
"Calle de Velacho Alto, 2,",7,"{'type': 'Point', 'coordinates': [-3.65926884, 40.47250314]}"
"Plaza del Liceo,",4,"{'type': 'Point', 'coordinates': [-3.64441924, 40.45754368]}"
"Puerto del Canfranc, 18,",16,"{'type': 'Point', 'coordinates': [-3.6634, 40.3969]}"
"Calle de Carlos Martin Alvarez, 38,",17,"{'type': 'Point', 'coordinates': [-3.6635, 40.3895]}"
"Calle Teresa López Valcárcel esq. Teniente Coronel Noreña,",18,"{'type': 'Point', 'coordinates': [-3.69328771, 40.38862908]}"
"Arturo Soria, 312,",2,"{'type': 'Point', 'coordinates': [-3.6684167, 40.47636724]}"
"Calle de Villalobos, 28,",22,"{'type': 'Point', 'coordinates': [-3.65076037, 40.38161669]}"
"Calle Charleroi,",2,"{'type': 'Point', 'coordinates': [-3.63219372, 40.38191654]}"
"Calle Albarracin, sn,",1,"{'type': 'Point', 'coordinates': [-3.63251641, 40.43397327]}"
"Calle Castillo de Ucles, 37,",10,"{'type': 'Point', 'coordinates': [-3.62306578, 40.43145558]}"
"Calle San Claudio, 154,",14,"{'type': 'Point', 'coordinates': [-3.63953994, 40.38902883]}"
"Calle Alcala  (acera de tránsito peatonal),",0,"{'type': 'Point', 'coordinates': [-3.60960104, 40.44910362]}"
"Paseo de la Dirección, frente 297,",10,"{'type': 'Point', 'coordinates': [-3.703955, 40.4702445774]}"
"Calle Casalarreina,",4,"{'type': 'Point', 'coordinates': [-3.6123187980524585, 40.40939089860396]}"
"Avenida de Daroca 321,",5,"{'type': 'Point', 'coordinates': [-3.61283416, 40.40634029]}"
"Paseo de los Gigantes y Cabezudos, 4,",7,"{'type': 'Point', 'coordinates': [-3.69399661, 40.36064659]}"
"Calle San Restituto, 74,",4,"{'type': 'Point', 'coordinates': [-3.71693008, 40.46588016]}"
"Paseo de la Dirección, 161,",1,"{'type': 'Point', 'coordinates': [-3.7080850848120273, 40.46778929738312]}"
"Avenida El Ferrol, 18,",0,"{'type': 'Point', 'coordinates': [-3.70510525, 40.47431313]}"
"577 - Calle Monforte de Lemos, 103,",1,"{'type': 'Point', 'coordinates': [-3.70566914, 40.47899993]}"
