address,dock_bikes,geometry
"Avenida del Doctor Arce nº 45,",3,"{'type': 'Point', 'coordinates': [-3.6794, 40.4484]}"
"Calle Serrano nº 210,",1,"{'type': 'Point', 'coordinates': [-3.6813971, 40.451117]}"
"Paseo de la Habana nº 42,",3,"{'type': 'Point', 'coordinates': [-3.6879303, 40.4498515]}"
"Calle Orense nº 12,",1,"{'type': 'Point', 'coordinates': [-3.6953592650123657, 40.44881224951987]}"
"Avenida del General Perón frente al nº 4,",1,"{'type': 'Point', 'coordinates': [-3.6989, 40.4525]}"
"Avenida del General Perón frente al nº 36,",0,"{'type': 'Point', 'coordinates': [-3.6936, 40.4523]}"
"Calle Orense nº 36,",5,"{'type': 'Point', 'coordinates': [-3.6946218, 40.4548456]}"
"Calle Sor Ángela de la Cruz nº 2,",2,"{'type': 'Point', 'coordinates': [-3.691533, 40.4592351]}"
"Avenida de Alberto Alcocer nº 22,",3,"{'type': 'Point', 'coordinates': [-3.684625, 40.45869]}"
"Paseo de la Habana nº 63,",3,"{'type': 'Point', 'coordinates': [-3.6835926, 40.4543852]}"
"Calle Colombia nº 7,",0,"{'type': 'Point', 'coordinates': [-3.6763439, 40.4572466]}"
"Paseo de la Florida nº 8,",23,"{'type': 'Point', 'coordinates': [-3.7220993214090403, 40.422192474165534]}"
"Paseo de los Olmos nº 28,",17,"{'type': 'Point', 'coordinates': [-3.7105765, 40.4034968]}"
"Paseo de la Esperanza nº 2,",2,"{'type': 'Point', 'coordinates': [-3.706445, 40.4037586]}"
"Paseo de las Delicias nº 94,",8,"{'type': 'Point', 'coordinates': [-3.69461, 40.39723]}"
"Paseo de la Chopera nº 14,",28,"{'type': 'Point', 'coordinates': [-3.697596, 40.392888]}"
"Calle Segovia nº 45,",13,"{'type': 'Point', 'coordinates': [-3.71748917032373, 40.41374770742206]}"
"Paseo Santa María de la Cabeza nº 29,",9,"{'type': 'Point', 'coordinates': [-3.6959, 40.4046]}"
"Calle Toledo nº 181,",12,"{'type': 'Point', 'coordinates': [-3.713823, 40.401589]}"
"Paseo de la Esperanza nº 21,",21,"{'type': 'Point', 'coordinates': [-3.7043956, 40.4010554]}"
"Calle Embajadores nº 97,",8,"{'type': 'Point', 'coordinates': [-3.6984023, 40.3997013]}"
"Calle Bustamante nº 1,",9,"{'type': 'Point', 'coordinates': [-3.6934926, 40.4008279]}"
"Paseo de la Esperanza nº 59,",10,"{'type': 'Point', 'coordinates': [-3.7024839, 40.3983467]}"
"Paseo de Yeserías nº 45,",12,"{'type': 'Point', 'coordinates': [-3.7065258846557603, 40.39742958306358]}"
"Calle Jaime el Conquistador nº 30,",17,"{'type': 'Point', 'coordinates': [-3.69834452, 40.3962264]}"
"Calle Alicante nº 3,",0,"{'type': 'Point', 'coordinates': [-3.6937222, 40.39425]}"
"Calle Bolívar nº 3,",17,"{'type': 'Point', 'coordinates': [-3.6941876374343896, 40.391447085678806]}"
"Calle León Gil de Palacio nº 3,",0,"{'type': 'Point', 'coordinates': [-3.6788343, 40.4029202]}"
"Avenida de la Albufera nº 6,",17,"{'type': 'Point', 'coordinates': [-3.6692724, 40.3979273]}"
"Calle Retama nº 5,",19,"{'type': 'Point', 'coordinates': [-3.67589, 40.3940423]}"
"Calle Ibiza nº 18,",3,"{'type': 'Point', 'coordinates': [-3.676443540475469, 40.41816932665331]}"
"Calle Alcalde Sáinz de Baranda frente al nº 107,",22,"{'type': 'Point', 'coordinates': [-3.6657777, 40.4186666]}"
"Calle Hermosilla nº 135,",7,"{'type': 'Point', 'coordinates': [-3.669339, 40.425635]}"
"Paseo Marqués de Zafra nº 24,",11,"{'type': 'Point', 'coordinates': [-3.6653055, 40.426]}"
"Calle Sancho Dávila esquina Paseo Marqués de Zafra,",15,"{'type': 'Point', 'coordinates': [-3.6615277, 40.4250833]}"
"Calle Diego de Leon, 52,",3,"{'type': 'Point', 'coordinates': [-3.6780802, 40.434676]}"
"Calle Alejandro González nº 1,",5,"{'type': 'Point', 'coordinates': [-3.6638249, 40.4301326]}"
"Avenida de Daroca nº 2,",2,"{'type': 'Point', 'coordinates': [-3.6590286, 40.4312562]}"
"Calle Virgen de la Alegría nº 18,",2,"{'type': 'Point', 'coordinates': [-3.6554918, 40.4351256]}"
"Calle Velázquez nº 91,",7,"{'type': 'Point', 'coordinates': [-3.6833753, 40.4343053]}"
"Calle Alonso Heredia nº 1,",2,"{'type': 'Point', 'coordinates': [-3.6740777840614403, 40.434569387142616]}"
"Avenida de los Toreros nº 3,",12,"{'type': 'Point', 'coordinates': [-3.6714677183853106, 40.431826464468664]}"
"Avenida de los Toreros nº 49,",16,"{'type': 'Point', 'coordinates': [-3.6655555, 40.4324722]}"
"Calle Francisco Silvela nº 86,",9,"{'type': 'Point', 'coordinates': [-3.6771535, 40.4372638]}"
"Calle Padre Indalecio Hernández nº 1,",16,"{'type': 'Point', 'coordinates': [-3.6754444, 40.4392222]}"
"Calle Suero de Quiñones nº 3,",7,"{'type': 'Point', 'coordinates': [-3.6752218, 40.4442237]}"
"Avenida de Concha Espina nº 34,",0,"{'type': 'Point', 'coordinates': [-3.677916, 40.4516059]}"
"Castellana 33,",1,"{'type': 'Point', 'coordinates': [-3.6891, 40.432]}"
"Calle Fernando el Católico nº 61,",1,"{'type': 'Point', 'coordinates': [-3.7149166, 40.4343611]}"
"Glorieta de Quevedo nº 5,",4,"{'type': 'Point', 'coordinates': [-3.7045789811585417, 40.43375360585919]}"
"Calle Santander esquina con Avenida de Filipinas,",7,"{'type': 'Point', 'coordinates': [-3.7083, 40.4413]}"
"Calle General Ampudia nº 2,",9,"{'type': 'Point', 'coordinates': [-3.7144722, 40.44175]}"
"Calle Doctor Santero nº 1,",2,"{'type': 'Point', 'coordinates': [-3.7040397, 40.4476488]}"
"Calle Navarra nº 1,",2,"{'type': 'Point', 'coordinates': [-3.7032777, 40.4535]}"
"Calle Marqués de Viana nº 3,",3,"{'type': 'Point', 'coordinates': [-3.698915521426396, 40.4607466894426]}"
"Calle Azucenas nº 1,",2,"{'type': 'Point', 'coordinates': [-3.6973352, 40.4630443]}"
"Paseo de la Castellana nº 216,",2,"{'type': 'Point', 'coordinates': [-3.6890611, 40.4662811]}"
"Paseo Castellana (Fundación Canal),",1,"{'type': 'Point', 'coordinates': [-3.6887, 40.4657]}"
"Calle Tres Cruces nº 7,",8,"{'type': 'Point', 'coordinates': [-3.7027164, 40.4196518]}"
"Calle Desengaño nº 1,",7,"{'type': 'Point', 'coordinates': [-3.70239, 40.42059]}"
"Calle Antonio López nº 129,",18,"{'type': 'Point', 'coordinates': [-3.7002247, 40.3889918]}"
"Calle Condesa de Venadito nº 2,",9,"{'type': 'Point', 'coordinates': [-3.6569031, 40.4434316]}"
"Calle Gutierre de Cetina nº 77,",7,"{'type': 'Point', 'coordinates': [-3.6408093, 40.429588]}"
"Plaza Puerta del Ángel nº 4,",14,"{'type': 'Point', 'coordinates': [-3.72897, 40.4141]}"
"Calle Pedro Rico nº 6,",6,"{'type': 'Point', 'coordinates': [-3.6890758, 40.480884]}"
"Calle Camino de los Vinateros nº 28,",14,"{'type': 'Point', 'coordinates': [-3.6572967, 40.4105478]}"
"Calle Camino de los Vinateros nº 108,",8,"{'type': 'Point', 'coordinates': [-3.6467338, 40.4083593]}"
"Calle Arroyo de las Pilillas nº 6,",5,"{'type': 'Point', 'coordinates': [-3.651271, 40.4062719]}"
"Calle Hacienda de Pavones nº 342,",18,"{'type': 'Point', 'coordinates': [-3.634744478732248, 40.400492026660594]}"
"Calle Eugenio Caxes frente al nº 12,",16,"{'type': 'Point', 'coordinates': [-3.7026789, 40.3917871]}"
"Paseo de la Ermita del Santo nº 48,",23,"{'type': 'Point', 'coordinates': [-3.724576, 40.406448]}"
"Calle Caramuel nº 51,",12,"{'type': 'Point', 'coordinates': [-3.7287, 40.409]}"
"Calle Sierra Toledana nº 33,",19,"{'type': 'Point', 'coordinates': [-3.660345, 40.402506]}"
"Camino de Valderribas nº 94,",17,"{'type': 'Point', 'coordinates': [-3.6607768678037744, 40.39901531507069]}"
"Calle Arroyo del Olivar nº 6,",19,"{'type': 'Point', 'coordinates': [-3.6659362429356372, 40.39382977920336]}"
"Isabelita Usera, 44,",17,"{'type': 'Point', 'coordinates': [-3.70773972, 40.38272256]}"
"5568 - Avda. del Partenón, 6,",2,"{'type': 'Point', 'coordinates': [-3.6178336, 40.4632802]}"
"Arroyo Bueno, 53,",3,"{'type': 'Point', 'coordinates': [-3.710985, 40.349111]}"
"Glorieta Marqués de Vadillo nº 9,",22,"{'type': 'Point', 'coordinates': [-3.716591, 40.398247]}"
"Calle de Avefria, 26,",13,"{'type': 'Point', 'coordinates': [-3.7308025, 40.38386939]}"
"Calle San Bernardo nº 22,",8,"{'type': 'Point', 'coordinates': [-3.7074808485065, 40.4229374]}"
"Adolfo Bioy Casares, 9,",0,"{'type': 'Point', 'coordinates': [-3.5981935, 40.3668504]}"
"Fuente Carrantona , 33,",14,"{'type': 'Point', 'coordinates': [-3.63192261, 40.4070216]}"
"Calle norte nº 8,",9,"{'type': 'Point', 'coordinates': [-3.7074453, 40.4262383]}"
"Calle San Germán nº 57,",0,"{'type': 'Point', 'coordinates': [-3.700930190178302, 40.4573342300643]}"
"Calle Gran Via del Sureste, 22,",21,"{'type': 'Point', 'coordinates': [-3.5897045, 40.3631604]}"
"Calle O'Donnell nº 50,",5,"{'type': 'Point', 'coordinates': [-3.6724968, 40.4213148]}"
"467 -  Calle Villardondiego frente,  32,",10,"{'type': 'Point', 'coordinates': [-3.6084888, 40.4062361]}"
"Manuel Noya , 29,",20,"{'type': 'Point', 'coordinates': [-3.7117979, 40.3853787]}"
"Calle Hernani, 59,",5,"{'type': 'Point', 'coordinates': [-3.6972, 40.4481]}"
"Calle Valdesangil 23,",17,"{'type': 'Point', 'coordinates': [-3.7166729, 40.4684218]}"
"Calle Segovia nº 26,",2,"{'type': 'Point', 'coordinates': [-3.7133770233135133, 40.41390473235381]}"
"Calle del Sorbe , 20,",17,"{'type': 'Point', 'coordinates': [-3.71320917, 40.3898701]}"
"Avenida del Mediterráneo nº 19,",23,"{'type': 'Point', 'coordinates': [-3.675102, 40.407271]}"
"Calle Francisco Balseiro nº 1,",0,"{'type': 'Point', 'coordinates': [-3.710525, 40.451333]}"
"237- calle Francisco Balseiro,Comunidad de Madrid España",0,"{'type': 'Point', 'coordinates': [-3.7102736, 40.4516819]}"
"Calle José Abascal frente al nº 2,",5,"{'type': 'Point', 'coordinates': [-3.7038333, 40.4386944]}"
"Calle Albelda, 6,",0,"{'type': 'Point', 'coordinates': [-3.6573666, 40.4494225]}"
"Calle Ariel, 7,",21,"{'type': 'Point', 'coordinates': [-3.67970176633988, 40.393023802369754]}"
